     #Energy           s          py          pz          px       tot
    -3.61488     0.03508     0.04537     0.06555     0.05060     0.19660
    -3.60488     0.03409     0.04450     0.06376     0.04939     0.19174
    -3.59488     0.03415     0.04460     0.06328     0.04937     0.19140
    -3.58388     0.03377     0.04445     0.06266     0.04906     0.18994
    -3.57388     0.03340     0.04431     0.06215     0.04879     0.18865
    -3.56388     0.03303     0.04397     0.06177     0.04843     0.18720
    -3.55388     0.03270     0.04391     0.06159     0.04847     0.18667
    -3.54288     0.03234     0.04380     0.06106     0.04836     0.18556
    -3.53288     0.03197     0.04365     0.06048     0.04820     0.18430
    -3.52288     0.03161     0.04350     0.05993     0.04807     0.18311
    -3.51188     0.03126     0.04335     0.05942     0.04797     0.18200
    -3.50188     0.03092     0.04320     0.05894     0.04790     0.18096
    -3.49188     0.03058     0.04306     0.05849     0.04785     0.17998
    -3.48088     0.03025     0.04293     0.05808     0.04782     0.17908
    -3.47088     0.02994     0.04278     0.05769     0.04783     0.17824
    -3.46088     0.02963     0.04263     0.05733     0.04785     0.17744
    -3.45088     0.02934     0.04248     0.05700     0.04790     0.17672
    -3.43988     0.02907     0.04233     0.05672     0.04800     0.17612
    -3.42988     0.02882     0.04219     0.05647     0.04812     0.17560
    -3.41988     0.02858     0.04204     0.05624     0.04826     0.17512
    -3.40888     0.02835     0.04189     0.05607     0.04842     0.17473
    -3.39888     0.02813     0.04176     0.05596     0.04861     0.17446
    -3.38888     0.02792     0.04164     0.05591     0.04882     0.17429
    -3.37788     0.02773     0.04154     0.05595     0.04905     0.17427
    -3.36788     0.02763     0.04180     0.05634     0.04949     0.17526
    -3.35788     0.02771     0.04227     0.05711     0.05014     0.17723
    -3.34788     0.02774     0.04283     0.05807     0.05083     0.17947
    -3.33688     0.02779     0.04343     0.05909     0.05156     0.18187
    -3.32688     0.02787     0.04406     0.06017     0.05233     0.18443
    -3.31688     0.02798     0.04473     0.06132     0.05312     0.18715
    -3.30588     0.02809     0.04542     0.06235     0.05390     0.18976
    -3.29588     0.02821     0.04615     0.06341     0.05469     0.19246
    -3.28588     0.02833     0.04691     0.06449     0.05550     0.19523
    -3.27488     0.02843     0.04769     0.06560     0.05633     0.19805
    -3.26488     0.02853     0.04850     0.06675     0.05720     0.20098
    -3.25488     0.02863     0.04937     0.06794     0.05805     0.20399
    -3.24488     0.02872     0.05024     0.06914     0.05892     0.20702
    -3.23388     0.02881     0.05112     0.07034     0.05981     0.21008
    -3.22388     0.02923     0.05245     0.07217     0.06122     0.21507
    -3.21388     0.02994     0.05405     0.07463     0.06274     0.22136
    -3.20288     0.03049     0.05543     0.07680     0.06411     0.22683
    -3.19288     0.03083     0.05661     0.07841     0.06550     0.23135
    -3.18288     0.03097     0.05753     0.07954     0.06669     0.23473
    -3.17188     0.03096     0.05824     0.08034     0.06768     0.23722
    -3.16188     0.03084     0.05885     0.08095     0.06860     0.23924
    -3.15188     0.03077     0.05970     0.08184     0.06981     0.24212
    -3.14188     0.03072     0.06061     0.08280     0.07111     0.24524
    -3.13088     0.03070     0.06157     0.08384     0.07250     0.24861
    -3.12088     0.03070     0.06257     0.08497     0.07397     0.25221
    -3.11088     0.03071     0.06363     0.08618     0.07553     0.25605
    -3.09988     0.03075     0.06473     0.08749     0.07716     0.26013
    -3.08988     0.03078     0.06584     0.08883     0.07879     0.26424
    -3.07988     0.03079     0.06694     0.09022     0.08037     0.26832
    -3.06888     0.03078     0.06801     0.09151     0.08191     0.27221
    -3.05888     0.03047     0.06568     0.08689     0.08028     0.26332
    -3.04888     0.03023     0.06413     0.08423     0.07905     0.25764
    -3.03888     0.02999     0.06264     0.08175     0.07793     0.25231
    -3.02788     0.02976     0.06119     0.07945     0.07690     0.24730
    -3.01788     0.02956     0.05983     0.07747     0.07605     0.24291
    -3.00788     0.02942     0.05864     0.07594     0.07543     0.23943
    -2.99688     0.02931     0.05761     0.07476     0.07499     0.23667
    -2.98688     0.02931     0.05716     0.07460     0.07488     0.23595
    -2.97688     0.02930     0.05703     0.07486     0.07500     0.23619
    -2.96588     0.02925     0.05714     0.07540     0.07538     0.23717
    -2.95588     0.02915     0.05750     0.07620     0.07601     0.23886
    -2.94588     0.02901     0.05810     0.07728     0.07690     0.24129
    -2.93588     0.02883     0.05895     0.07863     0.07804     0.24445
    -2.92488     0.02780     0.05675     0.07611     0.07357     0.23423
    -2.91488     0.02744     0.06227     0.08782     0.08926     0.26679
    -2.90488     0.02673     0.05881     0.08194     0.07994     0.24742
    -2.89388     0.02604     0.05477     0.07510     0.06905     0.22496
    -2.88388     0.02559     0.05421     0.07488     0.06747     0.22215
    -2.87388     0.02520     0.05371     0.07478     0.06599     0.21968
    -2.86288     0.02488     0.05328     0.07484     0.06463     0.21763
    -2.85288     0.02462     0.05342     0.07546     0.06367     0.21717
    -2.84288     0.02444     0.05526     0.07792     0.06406     0.22168
    -2.83288     0.02434     0.05813     0.08180     0.06556     0.22983
    -2.82188     0.02441     0.06220     0.08697     0.06840     0.24198
    -2.81188     0.02467     0.06751     0.09318     0.07258     0.25794
    -2.80188     0.02510     0.07402     0.10040     0.07806     0.27758
    -2.79088     0.02561     0.07758     0.10290     0.08268     0.28877
    -2.78088     0.02626     0.08103     0.10530     0.08687     0.29946
    -2.77088     0.02695     0.08259     0.10680     0.08812     0.30446
    -2.75988     0.02767     0.08541     0.10860     0.09012     0.31180
    -2.74988     0.02839     0.09055     0.11230     0.09311     0.32435
    -2.73988     0.02886     0.09478     0.11510     0.09559     0.33433
    -2.72988     0.02884     0.09535     0.11480     0.09415     0.33314
    -2.71888     0.02821     0.09583     0.11380     0.09134     0.32918
